x1,x2,tekst,index
386.81,308.8216,"ERI [ćw], mgr inż. R.Cybulski, _",8
514.27,308.8216,"WWW [ćw], mgr H.Pikus, sala _",8
292.61,298.6216,sala A3/17_,8
423.17,298.6216,sala E0/8_,8
557.71,298.6216,D2/16_,8
131.18,255.3016,"ASK [ćw], dr J.Szubiakowski, _",8
258.38,255.3016,"ERI [ćw], mgr inż. R.Cybulski, _",8
385.85,255.3016,"WWW [ćw], mgr H.Pikus, sala _",8
164.18,245.0816,sala A3/17_,8
294.77,245.0816,sala E0/8_,8
429.29,245.0816,D2/16_,8
25.2,412.3816,ISI_,8
48.72,439.2616,ISI 1_,8
48.72,385.7416,ISI 2_,8
25.2,275.0716,ISI_,8
48.72,301.9516,ISI 1_,8
48.72,248.4316,ISI 2_,8
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",8
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,8
319.85,115.9016,Przedst. samorz. stud.:_,8
615.22,115.9016,Dziekan:_,8
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,9
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",9
381.53,488.40000000000003,Sobota 04.12.2021_,9
85.8,473.5816,07:00_,9
137.18,473.5816,08:00_,9
188.54,473.5816,09:00_,9
239.9,473.5816,10:00_,9
291.29,473.5816,11:00_,9
342.65,473.5816,12:00_,9
394.01,473.5816,13:00_,9
445.39,473.5816,14:00_,9
496.75,473.5816,15:00_,9
548.11,473.5816,16:00_,9
599.5,473.5816,17:00_,9
650.86,473.5816,18:00_,9
702.22,473.5816,19:00_,9
753.6,473.5816,20:00_,9
202.94,414.3316,Blok językowy_,9
399.53,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",9
489.43,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",9
581.35,409.1716,"ERI [w], dr inż. _B.Nowak, sala C2_",9
671.26,409.1716,"ERI [w], dr inż. _B.Nowak, sala C2_",9
85.8,336.2716,07:00_,9
137.18,336.2716,08:00_,9
188.54,336.2716,09:00_,9
239.9,336.2716,10:00_,9
291.29,336.2716,11:00_,9
342.65,336.2716,12:00_,9
394.01,336.2716,13:00_,9
445.39,336.2716,14:00_,9
496.75,336.2716,15:00_,9
548.11,336.2716,16:00_,9
599.5,336.2716,17:00_,9
650.86,336.2716,18:00_,9
702.22,336.2716,19:00_,9
753.6,336.2716,20:00_,9
375.77,351.07,Niedziela 05.12.2021_,9
130.82,282.0616,"IO [w], dr M.Kolev, _",9
220.7,282.0616,"IO [w], dr M.Kolev, _",9
150.26,271.8616,sala C2_,9
240.14,271.8616,sala C2_,9
311.69,271.8616,"WWW [w], dr inż. _B.Nowak, sala C2_",9
401.57,271.8616,"WWW [w], dr inż. _B.Nowak, sala C2_",9
504.55,292.2616,Informacja _,9
594.46,292.2616,Informacja _,9
492.91,282.0616,"patentowa [w], dr _",9
582.79,282.0616,"patentowa [w], dr _",9
517.15,271.8616,inż. _,9
607.06,271.8616,inż. _,9
493.75,261.6616,K.Jadwisieńczak_,9
583.63,261.6616,K.Jadwisieńczak_,9
25.2,412.3816,ISI_,9
48.72,439.2616,ISI 1_,9
48.72,385.7416,ISI 2_,9
25.2,275.0716,ISI_,9
48.72,301.9516,ISI 1_,9
48.72,248.4316,ISI 2_,9
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",9
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,9
319.85,115.9016,Przedst. samorz. stud.:_,9
615.22,115.9016,Dziekan:_,9
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,10
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",10
381.53,488.40000000000003,Sobota 11.12.2021_,10
85.8,473.5816,07:00_,10
137.18,473.5816,08:00_,10
188.54,473.5816,09:00_,10
239.9,473.5816,10:00_,10
291.29,473.5816,11:00_,10
342.65,473.5816,12:00_,10
394.01,473.5816,13:00_,10
445.39,473.5816,14:00_,10
496.75,473.5816,15:00_,10
548.11,473.5816,16:00_,10
599.5,473.5816,17:00_,10
650.86,473.5816,18:00_,10
702.22,473.5816,19:00_,10
753.6,473.5816,20:00_,10
224.06,441.09159999999997,"WdGM [ćw], dr _Bożena Staruch, _",10
234.74,430.8916,sala A3/16_,10
309.17,446.1316,"ME [ćw], mgr inż. A.Froń, sala _",10
352.25,435.9316,D1/15_,10
449.95,451.2916,"ASK [ćw], dr _",10
443.47,441.09159999999997,"J.Szubiakowski, _",10
453.07,430.8916,sala A3/17_,10
527.11,446.1316,"WWW [ćw], mgr H.Pikus, sala _",10
570.55,435.9316,D2/16_,10
180.74,392.6116,"ME [ćw], mgr inż. A.Froń, sala _",10
